order_id,customer_id,order_date,product_name,category,quantity,unit_price,discount_pct,revenue,status,region
ORD-00114,CUST-022,2025-08-11,Webcam HD,Electronics,14,64.22,0.15,764.22,Completed,East
ORD-00130,CUST-047,2025-08-02,Desk Lamp LED,Furniture,10,37.23,0.25,279.22,Completed,South
ORD-00117,CUST-039,2024-10-20,Conference Table,Furniture,9,843.7,0.1,6833.97,Completed,East
ORD-00078,CUST-032,2024-08-21,Tape Dispenser,Supplies,13,8.68,0.1,101.56,Completed,East
ORD-00014,CUST-044,2024-09-22,Monitor 27in,Electronics,7,331.55,0,2320.85,Completed,Central
ORD-00101,CUST-018,2025-12-23,Tape Dispenser,Supplies,19,7.81,0.2,118.71,Completed,South
ORD-00047,CUST-045,2025-05-12,Smart Speaker,Electronics,11,43.3,0,476.3,Completed,West
ORD-00148,CUST-046,2025-05-04,Sticky Notes 6pk,Supplies,3,4.88,0,14.64,Completed,Central
ORD-00025,CUST-041,2027-03-11,Pen Pack 12,Supplies,18,6.39,0,115.02,Completed,West
ORD-00048,CUST-024,2024-05-14,Tape Dispenser,Supplies,12,7.32,0.05,83.45,Completed,East
ORD-00146,CUST-945,2025-06-03,USB-C Hub,Electronics,19,54.86,0,1042.34,Pending,East
ORD-00012,CUST-010,2025-11-06,Folders Manila 50pk,Supplies,9,12.26,0.25,82.75,Completed,East
ORD-00086,CUST-042,2025-07-23,Envelopes 100ct,Supplies,11,9.19,0.2,80.87,Completed,East
ORD-00030,CUST-047,2024-04-17,Desk Lamp LED,Furniture,17,37.18,0.2,505.65,Completed,Central
ORD-00091,CUST-025,2025-10-02,Conference Table,Furniture,16,852.33,0,13637.28,Completed,Central
ORD-00032,CUST-023,2025-11-03,Whiteboard 4x3,Furniture,17,98.84,0.15,1428.24,Completed,Central
ORD-00017,CUST-030,2025-08-11,Bookshelf Oak,Furniture,20,209.81,0,4196.2,Completed,Central
ORD-00027,CUST-012,2024-04-23,Smart Speaker,Electronics,17,41.34,0.05,667.64,Completed,West
ORD-00040,CUST-031,2025-04-08,USB-C Hub,Electronics,8,45.28,0,362.24,Completed,East
ORD-00089,CUST-009,2025-10-09,Keyboard Mechanical,Electronics,17,82.92,0.25,1057.23,Completed,East
ORD-00118,CUST-020,2025-05-27,Binder Clips 100ct,Supplies,10,6.71,0,67.1,Completed,Central
ORD-00007,CUST-013,2025-11-21,Keyboard Mechanical,Electronics,4,83.03,0.2,265.7,Completed,East
ORD-00097,CUST-039,2025-09-18,Stapler Heavy Duty,Supplies,18,15.87,0,285.66,Completed,West
ORD-00135,CUST-018,2025-11-16,Conference Table,Furniture,1,820.47,0.05,779.45,Completed,East
ORD-00139,CUST-004,2025-03-13,Ergonomic Chair,Furniture,6,435.51,0.25,1959.8,Completed,East
ORD-00035,CUST-044,2024-09-11,Tablet 10in,Electronics,10,488.0,0.25,3660.0,Completed,South
ORD-00002,CUST-046,2025-03-20,Wireless Mouse,Electronics,4,29.25,0,117.0,Completed,South
ORD-00142,CUST-026,2024-05-19,Bookshelf Oak,Furniture,1,189.92,0.05,180.42,Completed,South
ORD-00141,CUST-046,2025-10-14,Bookshelf Oak,Furniture,11,201.7,0,2218.7,Completed,East
ORD-00063,CUST-020,2025-05-01,Monitor Stand,Furniture,13,42.39,0,551.07,Completed,South
ORD-00081,CUST-034,2024-07-21,Headphones Noise-Cancel,Electronics,11,199.71,0,2196.81,Completed,South
ORD-00029,CUST-022,2025-12-01,Envelopes 100ct,Supplies,5,9.87,0,49.35,Completed,East
ORD-00124,CUST-001,2025-04-07,Folders Manila 50pk,Supplies,13,13.51,0.15,149.29,Completed,West
ORD-00109,CUST-043,2024-05-29,Folders Manila 50pk,Supplies,17,12.98,0,220.66,Pending,East
ORD-00066,CUST-031,2024-01-12,Filing Cabinet,Furniture,15,144.45,0,2166.75,Completed,East
ORD-00077,CUST-046,2024-09-30,Bookshelf Oak,Furniture,18,189.48,0.2,2728.51,Completed,South
ORD-00088,CUST-050,2024-12-20,Monitor 27in,Electronics,15,370.15,0.2,4441.8,Completed,West
ORD-00129,CUST-044,2027-03-16,Tape Dispenser,Supplies,18,7.45,0.1,120.69,Completed,West
ORD-00133,CUST-039,2025-12-14,Whiteboard 4x3,Furniture,8,87.61,0,700.88,Pending,South
ORD-00127,CUST-020,2024-12-30,Wireless Mouse,Electronics,6,32.86,0,197.16,Pending,West
ORD-00065,CUST-018,2025-08-04,Sticky Notes 6pk,Supplies,9,5.14,0.05,43.95,Completed,East
ORD-00056,CUST-021,2027-03-04,Standing Desk,Furniture,13,646.4,0.2,6722.56,Completed,South
ORD-00033,CUST-005,2025-03-11,Ergonomic Chair,Furniture,1,460.12,0,460.12,Completed,East
ORD-00010,CUST-019,2025-02-11,USB-C Hub,Electronics,7,52.05,0,364.35,Completed,South
ORD-00036,CUST-017,2025-03-10,Smart Speaker,Electronics,9,38.06,0.2,274.03,Completed,West
ORD-00043,CUST-044,2024-07-09,Conference Table,Furniture,20,831.72,0.15,14139.24,Completed,South
ORD-00083,CUST-019,2024-03-21,Keyboard Mechanical,Electronics,17,72.96,0,1240.32,Completed,West
ORD-00068,CUST-016,2025-04-28,Laptop Pro 15,Electronics,15,811.86,0,12177.9,Completed,East
ORD-00046,CUST-013,2025-01-25,Tablet 10in,Electronics,11,416.16,0,4577.76,Completed,South
ORD-00072,CUST-003,2025-11-22,Laptop Pro 15,Electronics,2,812.34,0,1624.68,Completed,Central
ORD-00028,CUST-042,2025-11-27,Whiteboard 4x3,Furniture,14,92.94,0.25,975.87,Completed,Central
ORD-00071,CUST-019,2024-03-24,Paper Ream A4,Supplies,6,8.96,0.2,43.01,Completed,South
ORD-00110,CUST-036,2024-12-21,Whiteboard 4x3,Furniture,11,90.44,0.1,895.36,Completed,South
ORD-00055,CUST-015,2025-10-16,Conference Table,Furniture,15,801.04,0,12015.6,Cancelled,East
ORD-00115,CUST-032,2025-07-11,Bookshelf Oak,Furniture,14,218.17,0.05,2901.66,Completed,West
ORD-00022,CUST-041,2024-09-17,External SSD 1TB,Electronics,12,83.4,0.2,800.64,Completed,Central
ORD-00093,CUST-045,2025-07-27,Tape Dispenser,Supplies,2,8.53,0,17.06,Completed,Central
ORD-00126,CUST-012,2024-05-01,Conference Table,Furniture,15,755.58,0,11333.7,Completed,East
ORD-00113,CUST-031,2025-07-20,Desk Lamp LED,Furniture,5,31.6,0.05,150.1,Completed,West
ORD-00011,CUST-004,2024-08-09,Tape Dispenser,Supplies,8,7.29,0,58.32,Completed,East
ORD-00096,CUST-040,2025-12-22,Monitor 27in,Electronics,3,320.5,0.05,913.42,Pending,Central
ORD-00134,CUST-041,2025-09-13,Monitor Stand,Furniture,20,48.74,0,974.8,Completed,South
ORD-00145,CUST-016,2025-12-26,Whiteboard 4x3,Furniture,1,81.18,0.25,60.89,Completed,Central
ORD-00121,CUST-042,2025-08-03,Binder Clips 100ct,Supplies,7,7.05,0,49.35,Cancelled,West
ORD-00009,CUST-014,2025-06-10,Monitor 27in,Electronics,13,328.57,0.2,3417.13,Completed,Central
ORD-00052,CUST-047,2024-09-04,Whiteboard 4x3,Furniture,11,84.06,0.2,739.73,Completed,West
ORD-00137,CUST-009,2025-06-25,Standing Desk,Furniture,4,623.1,0,2492.4,Completed,Central
ORD-00061,CUST-013,2025-05-11,Webcam HD,Electronics,20,56.55,0.2,904.8,Pending,Central
ORD-00019,CUST-047,2025-03-29,Ergonomic Chair,Furniture,11,437.23,0.15,4088.1,Completed,West
ORD-00013,CUST-989,2024-08-12,Filing Cabinet,Furniture,13,147.74,0,1920.62,Completed,East
ORD-00053,CUST-008,2025-10-22,Desk Lamp LED,Furniture,18,36.75,0.25,496.12,Completed,South
ORD-00098,CUST-035,2025-06-01,Stapler Heavy Duty,Supplies,18,16.63,0.25,224.5,Cancelled,West
ORD-00064,CUST-003,2025-11-26,Webcam HD,Electronics,5,62.83,0.05,298.44,Completed,West
ORD-00085,CUST-044,2024-09-18,Printer Ink Black,Supplies,2,24.64,0.05,46.82,Pending,Central
ORD-00042,CUST-029,2025-04-27,Ergonomic Chair,Furniture,16,458.21,0,7331.36,Completed,West
ORD-00073,CUST-013,2025-12-20,Monitor 27in,Electronics,17,382.04,0,6494.68,Completed,Central
ORD-00004,CUST-044,2024-07-25,Smart Speaker,Electronics,2,36.74,0.25,55.11,Completed,South
ORD-00058,CUST-049,2025-11-18,Laptop Pro 15,Electronics,15,876.64,0.15,11177.16,Completed,East
ORD-00019,CUST-047,2025-03-29,Ergonomic Chair,Furniture,11,437.23,0.15,4088.1,Completed,West
ORD-00102,CUST-030,2025-05-25,Wireless Mouse,Electronics,1,31.98,0.15,27.18,Completed,East
ORD-00049,CUST-040,2025-11-20,Stapler Heavy Duty,Supplies,20,15.74,0.15,267.58,Completed,South
ORD-00074,CUST-032,2025-07-01,Keyboard Mechanical,Electronics,2,77.43,0.1,139.37,Completed,Central
ORD-00038,CUST-022,2027-03-07,Folders Manila 50pk,Supplies,5,13.04,0.25,48.9,Pending,Central
ORD-00037,CUST-008,2025-09-25,Envelopes 100ct,Supplies,16,10.45,0.2,133.76,Completed,South
ORD-00100,CUST-015,2024-09-15,Webcam HD,Electronics,6,56.18,0.05,320.23,Completed,Central
ORD-00008,CUST-915,2024-05-09,Folders Manila 50pk,Supplies,4,13.55,0.25,40.65,Completed,Central
ORD-00084,CUST-019,2024-12-20,Tablet 10in,Electronics,15,457.08,0.15,5827.77,Completed,South
ORD-00020,CUST-019,2024-11-13,Tablet 10in,Electronics,6,438.69,0.2,2105.71,Completed,Central
ORD-00039,CUST-022,2025-07-04,Laptop Pro 15,Electronics,19,987.53,0,18763.07,Completed,Central
ORD-00136,CUST-037,2025-02-15,Smart Speaker,Electronics,5,41.37,0,206.85,Completed,East
ORD-00016,CUST-005,2025-03-30,Conference Table,Furniture,10,865.95,0.25,6494.62,Pending,Central
ORD-00147,CUST-042,2025-05-10,USB-C Hub,Electronics,19,54.23,0.15,875.81,Completed,East
ORD-00031,CUST-940,2025-01-09,Laptop Pro 15,Electronics,17,917.84,0,15603.28,Pending,East
ORD-00099,CUST-008,2024-12-24,Paper Ream A4,Supplies,4,8.89,0.25,26.67,Completed,Central
ORD-00076,CUST-026,2027-05-16,Keyboard Mechanical,Electronics,6,76.84,0.15,391.88,Completed,West
ORD-00123,CUST-047,2025-02-11,Headphones Noise-Cancel,Electronics,6,214.86,0.1,1160.24,Completed,West
ORD-00045,CUST-011,2025-07-31,External SSD 1TB,Electronics,19,90.35,0.15,1459.15,Completed,East
ORD-00106,CUST-044,2024-07-24,USB-C Hub,Electronics,10,51.23,0.1,461.07,Pending,South
ORD-00103,CUST-007,2025-11-13,Desk Lamp LED,Furniture,13,33.83,0.25,329.84,Completed,Central
ORD-00140,CUST-049,2025-02-11,Monitor Stand,Furniture,14,47.81,0.25,502.0,Cancelled,West
ORD-00131,CUST-017,2025-07-01,External SSD 1TB,Electronics,2,90.64,0.2,145.02,Completed,Central
ORD-00001,CUST-043,2024-10-04,Wireless Mouse,Electronics,15,30.58,0,458.7,Completed,Central
ORD-00057,CUST-001,2025-08-07,Monitor 27in,Electronics,18,333.11,0,5995.98,Cancelled,East
ORD-00079,CUST-012,2024-04-22,Paper Ream A4,Supplies,15,9.87,0,148.05,Completed,West
ORD-00095,CUST-038,2025-08-14,Sticky Notes 6pk,Supplies,11,5.23,0.15,48.9,Completed,East
ORD-00126,CUST-012,2024-05-01,Conference Table,Furniture,15,755.58,0,11333.7,Completed,East
ORD-00094,CUST-038,2025-09-26,Webcam HD,Electronics,8,57.2,0.2,366.08,Completed,Central
ORD-00111,CUST-050,2024-04-27,External SSD 1TB,Electronics,13,97.17,0,1263.21,Cancelled,Central
ORD-00005,CUST-030,2025-11-11,Wireless Mouse,Electronics,11,27.29,0.1,270.17,Completed,East
ORD-00059,CUST-043,2024-08-04,Filing Cabinet,Furniture,9,152.46,0.1,1234.93,Completed,South
ORD-00092,CUST-043,2025-07-01,Monitor 27in,Electronics,10,315.53,0,3155.3,Pending,East
ORD-00107,CUST-018,2025-07-14,Headphones Noise-Cancel,Electronics,19,187.76,0,3567.44,Completed,Central
ORD-00084,CUST-019,2024-12-20,Tablet 10in,Electronics,15,457.08,0.15,5827.77,Completed,South
ORD-00105,CUST-016,2025-05-25,Smart Speaker,Electronics,11,40.75,0.2,358.6,Completed,West
ORD-00144,CUST-044,2024-11-20,Bookshelf Oak,Furniture,2,206.78,0.1,372.2,Completed,West
ORD-00067,CUST-010,2024-09-28,Printer Ink Black,Supplies,20,27.4,0.1,493.2,Pending,South
ORD-00034,CUST-044,2027-04-10,Headphones Noise-Cancel,Electronics,10,211.3,0.15,1796.05,Completed,East
ORD-00112,CUST-042,2027-01-08,Sticky Notes 6pk,Supplies,3,4.71,0.25,10.6,Completed,West
ORD-00006,CUST-046,2025-11-09,Monitor Stand,Furniture,14,40.86,0.2,457.63,Completed,East
ORD-00051,CUST-025,2025-03-29,Tablet 10in,Electronics,6,471.62,0,2829.72,Pending,South
ORD-00075,CUST-045,2024-04-25,Stapler Heavy Duty,Supplies,6,14.78,0,88.68,Completed,West
ORD-00150,CUST-015,2025-10-05,Webcam HD,Electronics,9,54.97,0,494.73,Completed,West
ORD-00119,CUST-042,2025-07-27,Webcam HD,Electronics,8,64.12,0.15,436.02,Completed,South
ORD-00050,CUST-039,2024-09-03,Headphones Noise-Cancel,Electronics,16,202.73,0,3243.68,Completed,Central
ORD-00125,CUST-003,2025-10-13,Ergonomic Chair,Furniture,1,416.05,0.1,374.44,Completed,West
ORD-00139,CUST-004,2025-03-13,Ergonomic Chair,Furniture,6,435.51,0.25,1959.8,Completed,East
ORD-00116,CUST-019,2024-08-28,Stapler Heavy Duty,Supplies,11,14.61,0.2,128.57,Cancelled,Central
ORD-00104,CUST-019,2025-06-06,USB-C Hub,Electronics,12,45.63,0.1,492.8,Completed,East
ORD-00090,CUST-014,2025-01-21,Ergonomic Chair,Furniture,9,479.29,0.25,3235.21,Completed,East
ORD-00080,CUST-044,2025-04-22,Desk Lamp LED,Furniture,19,36.78,0,698.82,Completed,Central
ORD-00067,CUST-010,2024-09-28,Printer Ink Black,Supplies,20,27.4,0.1,493.2,Pending,South
ORD-00044,CUST-038,2025-10-24,Webcam HD,Electronics,3,62.7,0.25,141.08,Completed,East
ORD-00128,CUST-018,2025-06-10,Binder Clips 100ct,Supplies,17,7.17,0,121.89,Completed,East
ORD-00060,CUST-034,2024-05-05,Smart Speaker,Electronics,20,43.77,0.05,831.63,Completed,South
ORD-00108,CUST-007,2024-12-24,Standing Desk,Furniture,8,546.76,0.25,3280.56,Completed,East
ORD-00018,CUST-037,2025-10-30,Envelopes 100ct,Supplies,2,9.5,0.25,14.25,Cancelled,West
ORD-00054,CUST-049,2025-01-27,Folders Manila 50pk,Supplies,17,13.89,0.2,188.9,Completed,South
ORD-00138,CUST-003,2025-07-23,Monitor 27in,Electronics,12,345.62,0,4147.44,Completed,East
ORD-00050,CUST-039,2024-09-03,Headphones Noise-Cancel,Electronics,16,202.73,0,3243.68,Completed,Central
ORD-00021,CUST-002,2024-07-04,USB-C Hub,Electronics,7,46.39,0.05,308.49,Completed,West
ORD-00003,CUST-018,2025-12-03,USB-C Hub,Electronics,13,45.63,0,593.19,Completed,East
ORD-00130,CUST-047,2025-08-02,Desk Lamp LED,Furniture,10,37.23,0.25,279.22,Completed,South
ORD-00015,CUST-033,2025-12-24,Sticky Notes 6pk,Supplies,11,4.71,0.05,49.22,Completed,Central
ORD-00082,CUST-914,2027-06-18,Stapler Heavy Duty,Supplies,1,15.94,0.05,15.14,Completed,Central
ORD-00070,CUST-032,2024-02-27,Tablet 10in,Electronics,12,461.51,0.05,5261.21,Completed,West
ORD-00087,CUST-043,2025-09-24,Tablet 10in,Electronics,14,406.66,0.15,4839.25,Completed,West
ORD-00023,CUST-038,2025-06-19,Headphones Noise-Cancel,Electronics,19,197.56,0.25,2815.23,Completed,West
ORD-00143,CUST-036,2024-12-15,Folders Manila 50pk,Supplies,17,13.62,0.25,173.66,Completed,West
ORD-00120,CUST-043,2025-02-04,Smart Speaker,Electronics,13,42.22,0,548.86,Cancelled,West
ORD-00149,CUST-005,2025-06-25,Keyboard Mechanical,Electronics,5,81.16,0.1,365.22,Completed,Central
ORD-00132,CUST-035,2025-08-29,Printer Ink Black,Supplies,3,27.25,0.1,73.58,Completed,South
ORD-00122,CUST-017,2024-12-28,Conference Table,Furniture,4,813.14,0.2,2602.05,Completed,South
ORD-00041,CUST-010,2024-07-26,Keyboard Mechanical,Electronics,18,83.45,0,1502.1,Completed,Central
ORD-00026,CUST-031,2025-02-28,Wireless Mouse,Electronics,8,32.35,0.05,245.86,Completed,East
ORD-00069,CUST-015,2025-01-27,Standing Desk,Furniture,17,598.37,0,10172.29,Completed,West
ORD-00024,CUST-045,2025-08-19,Wireless Mouse,Electronics,7,29.68,0,207.76,Completed,West
ORD-00062,CUST-012,2024-11-12,Wireless Mouse,Electronics,20,27.62,0.25,414.3,Completed,East
